Title,Description,Ingredients,Directions,Link
Chilaquiles Breakfast Casserole,"This chilaquiles breakfast casserole is made with layered tortilla chips, baked in a spiced chile sauce and cheese. Topped with fried or poached eggs, and plenty of delicious fixings, it's very satisfying. Traditional chilaquiles are made in a skillet, but this casserole version is a great way to serve a large group at breakfast or a brunch.","['1 (20 ounce) can red enchilada sauce', '1 cup roasted tomato salsa', '1/2 cup diced Hatch green chilies', '1/2 lime, juiced', '2 teaspoons chili powder', '1 teaspoon ground cumin', '1 teaspoon dried oregano', '1/2 cup sliced green onions', '8 to 10 cups thick-cut tortilla chips', '4 ounces shredded Monterey Jack cheese', '4 ounces shredded Cheddar cheese', '6 large eggs', '1 avocado\xa0- pitted, peeled, and diced', '1/4 cup crumbled queso fresco cheese', '1/4 cup chopped fresh cilantro leaves', 'sour cream (optional)', 'hot sauce (optional)']","['Preheat the oven to 375 degrees F (190 degrees C).', 'Add enchilada sauce, salsa, Hatch chilies, lime juice, chili powder, cumin, oregano, and green onions to a bowl and whisk thoroughly.', 'Toss Monterey Jack and Cheddar cheeses together; set aside.', 'Transfer 1 ladle of sauce into the bottom of a 9x12-inch baking dish. Top with half the chips, arranging into an even layer. Ladle over half the remaining sauce. Top evenly with half the cheese mixture.', 'Top with remaining chips, arranging into an even layer. Ladle over remaining sauce. Top evenly with the remaining cheese mixture.', 'Bake in the preheated oven until the casserole is heated through and cheese is starting to brown, 20 to 25 minutes.', ""In the last few minutes of baking time, prepare the eggs by frying or poaching, or bake them on top of the casserole as shown in the video. See Chef's Note for directions."", 'Serve casserole hot, topped with avocado, queso fresco, cilantro, sour cream, and hot sauce. Add a fried or poached egg to the top of each serving.']",https://www.allrecipes.com/chilaquiles-breakfast-casserole-recipe-8684756
Bougatsa,"Bougatsa, a Greek pastry that's delicious for breakfast or anytime, has a creamy but sturdy lemon-vanilla custard baked between layers of crisp and flaky phyllo dough.","['4 large eggs, at room temperature', '2/3 cup white sugar', '3 cups whole milk', '1/2 cup semolina flour', '1 cup cold unsalted butter, cubed', '2 tablespoons packed grated lemon zest', '2 tablespoons freshly squeezed lemon juice', '1 1/2 teaspoons vanilla extract', '3/4 cup unsalted butter, divided', '18 (14x9-inch) frozen phyllo pastry sheets, thawed', ""2 teaspoons confectioner's sugar"", '1/8 teaspoon ground cinnamon']","['Crispy and flaky, smooth and filled with a semolina custard—these textures are what make bougatsa so great. There are hints of lemon and vanilla and a sweetness that evens everything out. But what is bougatsa?', 'Bougatsa is a traditional Greek pastry served often for breakfast or dessert. It’s made by layering sheets of phyllo dough, a thin unleavened dough used in Greek, Balkan, and Middle Eastern cuisine, and filled with a sweet, milky semolina custard.', 'The recipe also includes eggs, vanilla, sugar, butter, lemon juice and zest as well as powdered sugar and cinnamon as a topping. There really aren’t too many ingredients, which is the beauty of this recipe. There are two main parts to this recipe: preparing the custard, then layering the phyllo dough with the custard. The oven does the rest of the work. Allow the bougatsa to cool slightly before serving. This will help the custard set, and the pastry will cut into slices easier.', '“I’ve never had this dish before, and I gotta say, it’s one of the best things I’ve eaten in a while (and I eat a lot),” says recipe tester and developer Liz Mervosh. “It’s just sweet enough to satiate your sweet tooth and also savory from the butter-coated phyllo sweets. Forget your French breakfast pastries, go Greek!”', 'Here are some tips and tricks from recipe developer Jasmine Smith:', 'Editorial contributions by Keaton Larson', 'Gather the ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Beat eggs with a stand mixer fitted with a whisk attachment on medium speed until foamy, about 1 minute. Add white sugar; beat on medium speed until thick and foamy, 4 to 5 minutes.', 'Meanwhile, heat milk in a large saucepan over medium-low, stirring occasionally, until milk begins to simmer. With mixer on low speed, slowly pour hot milk into egg mixture, beating until fully combined, about 30 seconds.', 'Return milk mixture to saucepan. Place saucepan over medium-low heat, and cook, whisking constantly, until mixture begins to simmer and thickens slightly, 3 to 4 minutes. Gradually whisk in semolina flour; cook, stirring constantly, until thickened to a porridge consistency, 1 to 2 minutes.', 'Remove saucepan from heat. Gradually whisk cold butter, 1 tablespoon at a time, into mixture in saucepan until emulsified, about 2 minutes. Whisk in lemon zest, lemon juice, and vanilla. Let custard stand at room temperature while preparing baking pan, stirring occasionally.', 'Brush bottom and sides of a nonstick 13- x 9-inch baking pan with about 1 tablespoon of the melted butter. Gently unfold and place phyllo sheets on a clean work surface; cover using a damp clean kitchen towel to keep phyllo moist while you work. Layer 8 phyllo sheets in the prepared baking pan, lightly brushing each sheet with melted butter.', 'Spread custard over phyllo in an even layer. Top with 2 phyllo sheets, lightly brushing each sheet with melted butter and stretching sheets to cover sides of baking pan.', 'Working with remaining 8 phyllo sheets, 1 sheet at a time, place phyllo sheet on work surface; lightly brush with melted butter. Starting from 1 short end, fold phyllo sheet accordion-style to create a long strip with 2-inch-wide pleats. Place folded phyllo strip crosswise in baking pan with pleats facing up. Repeat brushing and folding process with remaining 7 phyllo sheets and melted butter, placing strips side by side to completely cover baking pan.', ""Bake in the preheated oven until pastry is golden brown and crispy, 40 to 45 minutes. Remove from oven, and let bougatsa cool slightly at room temperature for 30 minutes. Dust evenly with confectioner's sugar and cinnamon. Slice into squares, and serve warm or at room temperature.""]",https://www.allrecipes.com/bougatsa-recipe-8654345
The Ultimate Croissant Sandwich,"The ultimate croissant sandwich is this oven-toasted croissant with melted Havarti cheese, deli ham, fresh arugula, and a light honey Dijon dressing.","['2 large croissants, split', '6 slices deli ham (such as Boar’s Head®)', '4 (3/4 ounce) slices Havarti cheese', '2 tablespoons olive oil', '2 teaspoons Dijon mustard', '2 teaspoons honey', '1 cup loosely packed baby arugula']","['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Line a large rimmed baking sheet with aluminum foil; set aside.', 'Place bottom of each croissant, cut side up, on a baking sheet. Layer 3 of the ham slices and 2 of the Havarti slices over each croissant bottom.', 'Whisk together olive oil, Dijon, and honey in a small mixing bowl until fully combined. Evenly brush top half of each croissant with about 1/2 teaspoon of olive oil mixture. Place top of each croissant, cut side down, on prepared baking sheet.', 'Bake in the preheated oven until Havarti is melted and ham is heated through, 5 to 7 minutes.', 'Meanwhile, toss arugula and remaining olive oil mixture in a medium bowl until evenly coated. Remove croissants from oven. Top melted Havarti layer evenly with dressed arugula and croissant tops. Serve immediately.']",https://www.allrecipes.com/the-ultimate-croissant-sandwich-recipe-8680045
Margarita Bars,"These margarita bars are perfectly sweet, and oh, so creamy. The filling is like a cross between Key lime pie and a lemon bar, with a hint of tequila.","['cooking spray', '1 3/4 cups finely ground graham cracker crumbs', '1/2 cup unsalted butter, melted', '1/3 cup white sugar', '3/4 teaspoon kosher salt, divided', '10 large egg yolks', '2 (14 ounce) cans sweetened condensed milk', '4 teaspoons grated lime zest, plus more zest for garnish', '3/4 cup fresh lime juice', '1/4 cup blanco tequila', '2 tablespoons orange liqueur (such as Grand Marnier®, Triple Sec®, or Cointreau®)', 'flaky sea salt']","['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Line a 9-inch square baking pan with aluminum foil, leaving a 2-inch overhang on all sides. Lightly coat with cooking spray; set aside.', 'Stir together graham cracker crumbs, melted butter, sugar, and 1/4 teaspoon of the salt in a bowl until fully combined and resembles wet sand. Transfer to prepared baking pan, and firmly press into an even layer on bottom of pan.', 'Bake in the preheated oven until just golden brown and fragrant, 8 to 10 minutes. Remove from oven, and let cool slightly, about 5 minutes.', 'Whisk together yolks, condensed milk, lime zest and juice, and remaining 1/2 teaspoon salt in a large bowl until smooth. Add tequila and orange liqueur, and whisk until fully combined, about 30 seconds. Pour over slightly cooled crust.', 'Bake in the preheated oven until edges are set and center has a slight jiggle, 25 to 28 minutes.', 'Remove from oven; let cool to room temperature in pan on wire rack, about 1 hour. Place in freezer, uncovered, until chilled and set, at least 2 hours or up to 12 hours.', 'Using excess foil as handles, remove bars from pan, transfer to a cutting board; cut evenly into 16 bars, trimming edges, as desired. Garnish with flaky sea salt and additional lime zest. Serve.']",https://www.allrecipes.com/margarita-bars-recipe-8680582
Iced Pistachio Latte,"This iced pistachio latte, cool and refreshing, is made with only 3 ingredients. The pistachio cream is sweet enough that no additional sweetener is needed.","['1 tablespoon pistachio cream', '6 fluid ounces whole milk', 'ice, as needed', '2 shots espresso']","['Swirl pistachio cream into a glass. Using a straw, push cream down and around. Add milk. Fill glass to within 1 inch of rim with ice. Pour in espresso.']",https://www.allrecipes.com/iced-pistachio-latte-recipe-8681752
3 Ingredient Ube Ice Cream,"This 3 ingredient ube ice cream is super easy to make, absolutely delicious, and purple! I was thrilled when I discovered ube sweetened condensed milk at my local Filipino market, and this is the result.","['2 cups heavy cream', '1 (10 ounce) can ube sweetened condensed milk', '4 teaspoons ube flavoring or extract']","['Pour heavy cream into a chilled bowl. Using a hand mixer, whip until soft peaks form, 3 to 4 minutes. Add ube sweetened condensed milk and continue whipping until stiff peaks form. Add ube flavoring and mix until just combined.', 'Pour into a freezer-safe container with a lid. Freeze overnight.', 'Before serving, let sit on counter for a few minutes to soften a bit.']",https://www.allrecipes.com/3-ingredient-ube-ice-cream-recipe-8681790
Creamy Asparagus and Mushroom Pasta,"This creamy asparagus and mushroom pasta is a delicious meatless main dish for 4, or a fantastic side for 6, great to go with chicken or chops. A tossed green salad and some garlic bread go nicely with this.","['8 ounces fettuccine', '1 tablespoon olive oil', '1 tablespoons butter', '2 cups sliced (1 1/2 inch) fresh asparagus', '1/3 cup thinly sliced shallot', 'salt and freshly ground black pepper to taste', '2 cups sliced fresh mushrooms', '1 1/2 teaspoons minced garlic', '1 teaspoon Italian seasoning', '3/4 cup heavy cream', '3/4 cup grated Parmesan cheese']","['Bring a large pot of salted water to boil. Add fettuccine and cook until tender with a bite, 7 to 10 minutes. Remove fettuccine to a colander to drain, and reserve pasta water.', 'Meanwhile, heat olive oil and butter in a large nonstick skillet over medium heat. When butter has melted, swirl the skillet to mix with the oil.', 'Add asparagus and shallot to the skillet and cook, stirring, 2 to 3 minutes. Season with salt and pepper.', 'Add mushrooms and cook, stirring, about 2 minutes. Add garlic and Italian seasoning and cook an additional 30 seconds.', 'Stir in heavy cream and bring to a boil. Add grated Parmesan cheese and stir until melted. See note. Stir in 1/4 to 1/2 cup reserved pasta water, if desired. Serve immediately.']",https://www.allrecipes.com/creamy-asparagus-and-mushroom-pasta-recipe-8682796
Baked Feta Eggs,"These baked feta eggs are so very simple to make, but a great way to style up breakfast, brunch, or dinner. Feel free to adapt the flavors to your taste preferences.","['2 small tomatoes, diced (such as Campari®)', '2 tablespoons diced red onion', '1 clove garlic, minced', '1/2 cup feta cheese, roughly crumbled', '2 teaspoons olive oil', '2 large eggs', '1/2 teaspoon dried oregano', 'salt and freshly ground black pepper to taste', 'thinly-sliced fresh basil for garnish']","['Preheat the oven to 375 degrees F (190 degrees C), and spray 2 oven-safe ramekins with cooking spray.', 'Combine tomatoes, red onions, and garlic in a small bowl and divide evenly between ramekins. Sprinkle with feta cheese, drizzle with olive oil, and sprinkle with oregano. Place ramekins on a baking sheet.', 'Bake in the preheated oven for 8 minutes. Remove from oven; do not turn oven off.', 'Gently stir feta into tomato mixture. With the back of a spoon, make indentations in tomato mixture. Crack an egg into each indentation.', 'Return ramekins to the oven, and bake until egg whites are opaque but yolks are still runny, or cooked to your taste, 10 to 14 minutes. Season with salt and pepper, garnish with basil, and serve.']",https://www.allrecipes.com/baked-feta-eggs-recipe-8682609
Pineapple Limoncello Spritz,"This pineapple limoncello spritzer, with fresh basil and a splash of prosecco, will have your guests wanting more. Add a splash to your summer cocktails with this light and refreshing cocktail.","['1 1/2 fluid ounces limoncello', '4 fresh basil leaves', '1 tablespoon agave syrup,\xa0or more to taste', '2 fluid ounces pineapple juice']","['Place limoncello, basil, and agave syrup into a cocktail shaker and mash well with a cocktail muddler. Pour in pineapple juice and ice, cover, and shake until the outside of the shaker has frosted. Strain into 2 chilled martini or champagne glasses, filling glasses halfway up.', 'Top glasses off with prosecco and garnish with a pineapple wedge or lemon wedge.']",https://www.allrecipes.com/pineapple-limoncello-spritz-recipe-8682492
Sweet and Spicy Sweet Potato Bites,"These sweet and spicy sweet potato bites, roasted with a homemade seasoning mix, are a tasty side that will go with just about anything.","['1 tablespoon onion powder', '1 tablespoon garlic granules', '1 tablespoon sweet and spicy paprika', '1 tablespoon white sugar', '1 tablespoon ground coriander', '1 1/2 teaspoons salt', '1 1/2 teaspoons dried oregano', '1 1/2 teaspoons dried parsley', '2 pounds sweet potatoes,\xa0cut into bite-sized pieces', '1 tablespoon olive oil']","['Preheat the oven to 425 degrees F (225 degrees C). Stir onion powder, garlic granules, paprika, sugar, coriander, salt, oregano, and parsley together in a small bowl; set seasoning aside.', 'Add sweet potatoes to a large bowl or resealable plastic bag. Add the oil; sprinkle in about 1 tablespoon seasoning. Toss to coat potatoes. Extra seasoning can be stored in an airtight jar.', 'Bake in the preheated oven until tender, about 25 minutes.']",https://www.allrecipes.com/sweet-and-spicy-sweet-potato-bites-recipe-8681950
Shrimp Biryani,"This shrimp biryani is aromatic and complex, homey and comforting. A mixture of spices, bloomed in ghee, flavor both the rice and tomato sauce, and the entire dish is baked layered with spiced yogurt-marinated shrimp.","['2 cups uncooked aged basmati rice', '6 tablespoons ghee, divided, plus more for drizzling', '1 tablespoon plus 2 1/2 teaspoons garam masala (such as Frontier®), divided', '3 1/2 teaspoons kosher salt, divided', '2 teaspoons grated garlic, divided', '2 teaspoons grated fresh ginger, divided', '1 teaspoon ground coriander, divided', '2 1/4 cups water', '1/2 cup plain whole-milk strained (Greek-style) yogurt', '1/4 teaspoon cayenne pepper', '1 pound large raw shrimp - peeled, deveined, and tails removed', '1/2 cup chopped yellow onion', '2 1/2 cups chopped plum tomatoes', '1 teaspoon ground turmeric', '1/2 cup fresh cilantro, divided', '2 tablespoons fresh mint, divided', '1/4 cup crispy fried onions or shallots, or as needed']","['Gather all ingredients.', 'Place rice in a large bowl, and cover with cold running water. Agitate with hands to release excess starch, and pour off water. Repeat process until water is mostly clear, 4 to 5 times.', 'Heat 2 tablespoons of the ghee in a medium saucepan over medium-high heat. Add 1 tablespoon garam masala, 2 teaspoons salt, 1 teaspoon each of grated garlic and ginger, and 1/2 teaspoon coriander. Cook, stirring constantly, until fragrant, about 1 minute. Add rice, and cook, stirring constantly, until rice is well coated in ghee and spices, 1 to 2 minutes.', 'Add 2 1/4 cups water, and stir. Bring to a boil over high heat. Stir, and cover with a tight-fitting lid. Reduce heat to medium-low. Simmer, undisturbed, until rice is just tender, about 12 minutes. Remove from heat, and remove lid. Fluff with a fork, and set aside.', 'Meanwhile, whisk together yogurt, cayenne, 1/2 teaspoon garam masala, and 1/2 teaspoon salt. Add shrimp, and toss to fully coat; set aside.', 'Preheat the oven to 350 degrees F (175 degrees C).', 'Heat 2 tablespoons of ghee over medium-high heat in a Dutch oven or large oven-safe nonstick saucepan. Add onion, and cook, stirring occasionally, until starting to soften, about 4 minutes. Add tomatoes, and cook, stirring occasionally, until they start to release liquid and soften, about 3 minutes. Add 1/2 teaspoon turmeric, remaining 2 teaspoons garam masala, remaining 1 teaspoon salt, remaining 1 teaspoon each garlic and ginger, and remaining 1/2 teaspoon coriander. Cook, stirring constantly, until fragrant, about 1 minute. Reduce heat to medium, and cook, stirring occasionally, until tomatoes have mostly broken down and mixture resembles a tomato sauce in texture, about 8 minutes.', 'Remove from heat, and add shrimp mixture, stirring constantly, until well combined. Stir in 1/4 cup cilantro and 1 tablespoon mint. Remove half (about 1 heaping cup) of the shrimp mixture from Dutch oven, and set aside in a medium bowl. Spread remaining shrimp mixture in the Dutch oven into an even layer. Add half (about 3 cups) of cooked rice mixture over shrimp mixture. Add reserved 1 heaping cup shrimp mixture over rice. Sprinkle with 2 tablespoons cilantro and 1/2 tablespoon mint. Add remaining rice mixture over shrimp mixture, and spread into an even layer.', 'Melt remaining 2 tablespoons ghee in a small bowl, and stir in remaining 1/2 teaspoon turmeric. Drizzle over rice mixture. Place a lid on Dutch oven.', 'Bake in the preheated oven until shrimp finishes cooking, 13 to 15 minutes. Remove from oven, and remove lid. Shrimp will be bright pink outside and meat will be opaque,. Top with remaining 2 tablespoons cilantro and 1/2 tablespoon mint. Top with fried onions and drizzle with melted ghee, as desired. Serve immediately.']",https://www.allrecipes.com/shrimp-biryani-recipe-8679342
Dulce De Leche Ice Cream,"This dulce de leche ice cream, with ripples of lightened dulce de leche in every scoop, is very creamy and rich, with just the perfect hint of salt.","['1 (13.4 ounce) can dulce de leche', '2 cups heavy whipping cream, divided', '2 teaspoons vanilla extract', '1/2 teaspoon kosher salt', 'flaky sea salt']","['Gather all ingredients. Line inside of a 5x9-inch loaf pan with plastic wrap, leaving a 1-inch overhang on both long sides; set aside.', 'Whisk dulce de leche and 1/3 cup of the heavy cream in a small mixing bowl until evenly combined, about 1 minute. Transfer 1 cup of the dulce de leche mixture to a large mixing bowl, and set aside. Reserve remaining mixture for drizzling.', 'Beat vanilla, salt, and remaining 1 2/3 cups heavy cream with a stand mixer fitted with a whisk attachment on medium-high speed just until stiff peaks form, about 3 minutes. Fold whipped cream, in 3 additions, into the 1 cup of dulce de leche mixture in large bowl until fully incorporated and no streaks remain.', 'Transfer half of the whipped cream mixture into prepared loaf pan, spreading into an even layer. Spoon about half of the reserved dulce de leche mixture evenly over whipped cream layer. Repeat process with the remaining whipped cream mixture and remaining reserved dulce de leche mixture.', 'Using a butter knife gently swirl dulce de leche mixture and whipped cream mixture together to create a decorative design.', 'Cover loosely with plastic wrap and store in freezer until fully set, at least 8 hours or up to 12 hours. Sprinkle with flaky sea salt, and serve.']",https://www.allrecipes.com/dulce-de-leche-ice-cream-recipe-8680054
Zucchini Chicken Casserole,"This zucchini chicken casserole is creamy and herbaceous, packed with fresh fork-tender vegetables and shredded chicken breast. The herbs make this dish feel light and fresh, while the cheese on top forms a golden-brown melty crust. This casserole is delicious for a weeknight dinner.","['1 tablespoon olive oil', '2 (8 ounce) zucchini, thinly sliced', '2 large peeled carrots, chopped', '1 cup chopped yellow onion', '2 (10 1/2 ounce) cans cream of chicken soup (such as Campbell’s®)', '1 cup sour cream', '2 tablespoons finely chopped fresh herbs, such as parsley, tarragon, and basil, plus more for garnish', '1 teaspoon kosher salt', '1 teaspoon freshly ground black pepper', '4 cups shredded rotisserie chicken breasts', '4 ounces Cheddar cheese, shredded', '1 1/4 cups panko breadcrumbs (Japanese-style breadcrumbs)', '2 1/2 tablespoons salted butter, melted']","['Gather all ingredients. Preheat the oven to 350 degrees F (175 degrees C). Lightly spray a 9x13-inch baking dish with cooking spray; set aside.', 'Heat oil in a large nonstick skillet over medium-high heat. Add zucchini slices, carrots, and onion. Cook, stirring occasionally, until vegetables are softened, about 10 minutes. Remove from heat, and set aside.', 'Whisk together cream of chicken soup, sour cream, herbs, salt, and black pepper in a large bowl until evenly combined. Fold chicken and cooked zucchini mixture into cream of chicken soup mixture until evenly coated. Transfer to prepared baking dish, spreading into an even layer. Top with shredded Cheddar.', 'Stir panko and butter together in a small bowl until fully combined. Sprinkle evenly over top of casserole.', 'Bake in the preheated oven until Cheddar is melted, chicken mixture is bubbling around edges, and panko is golden brown, about 45 minutes. Garnish with additional fresh herbs.']",https://www.allrecipes.com/zucchini-chicken-casserole-recipe-8681195
Prosciutto Plum Focaccia,"This prosciutto plum focaccia, with prosciutto-wrapped plum slices baked into it, is not only delicious, but one of the most beautiful focaccia breads you will ever see.","['1 packet active dry yeast', '1 cup warm water, at 105 degrees F (40 degrees C)', '4 tablespoons olive oil, divided, plus more as needed', '1 teaspoon white sugar', '3 cups all-purpose flour', '1 1/2 teaspoons kosher salt', '12 slices fresh plum', '4 slices prosciutto, each slice cut into thirds', '2 teaspoons chopped rosemary (optional)', '1 teaspoon coarse sea salt, or to taste']","['Stir yeast and warm water together in a large bowl and let stand for 15 minutes.', 'Add 1 tablespoon olive oil, sugar, all-purpose flour, and salt. Use a wooden spoon to stir until a very soft, sticky dough forms. While stirring, incorporate any dough that sticks to the sides of the bowl.', 'Drizzle over a tablespoon of olive oil, and rub some on your hands. Pick up dough, and with your fingers under the dough pushing gently up, stretch the sides down and under several times while rotating the dough, in order to form a relatively smooth ball with some surface tension on top. Place dough ball into the bowl, smooth side up, cover the bowl, and refrigerate overnight.', 'The next morning, pull out dough and let rise at room temperature until doubled in size, about 1 1/2 hours.', 'Generously oil a work surface with about 1 tablespoon olive oil, and transfer dough to the work surface. Press into a large rectangle, and then fold into thirds one way, and then the other, forming a small rectangle, about 6x9 inches.', 'Generously oil a sheet pan with about 2 tablespoons olive oil, and transfer dough rectangle to the sheet pan. Press dough out to about 1/2-inch thick. Cover; let proof at room temperature\xa0until dough has spread out, risen slightly, and surface has bubbles, 1 1/2 to 2 hours.', 'Meanwhile, wrap plum sections with prosciutto and refrigerate until needed.', 'Preheat the oven to 475 degrees F (245 degrees C).', 'Sprinkle dough with rosemary. Push wrapped plum sections deep into the dough in a 3x4 pattern. Drizzle top lightly with olive oil; sprinkle with sea salt.', 'Bake in the preheated oven until browned, 17 to 20 minutes. As soon as focaccia is out of the oven, brush with more olive oil if desired. Transfer focaccia to a rack and let cool completely\xa0 before cutting.']",https://www.allrecipes.com/prosciutto-plum-focaccia-recipe-8682374
Jalapeno Popper Potato Salad,"This jalapeno popper potato salad has the heat, the salty bacon, the cheese, and the creamy ranch-seasoned dressing that put jalapeno poppers top of mind. Bacon and potatoes roast at the same time, making prep easier.","['10 slices bacon', '3 pounds red potatoes, cut into 1-inch cubes', '2 tablespoons olive oil', '1 (1 ounce) packet ranch seasoning mix, divided', '1 teaspoons kosher salt', '1 teaspoon ground black pepper', '4 green onions, thinly sliced, plus more for garnish if desired', '2 jalapenos, seeded and finely chopped, plus more for garnish', '2 tablespoons chopped pickled jalapenos, plus 1 tablespoon juice from jar', '2 cups shredded Cheddar cheese', '8 ounces sour cream', '1/3 cup mayonnaise']","['Preheat the oven to 400 degrees F (200 degrees C). Line 2 rimmed baking sheets with foil or parchment. Arrange bacon in a single layer on a prepared pan. Add potatoes to the second pan and toss with oil, 2 tablespoons ranch seasoning, salt, and pepper until well coated.', 'Bake both pans in the preheated oven. Cook bacon until crisp, about 15 minutes. Remove bacon to cool on a rack. Cook potatoes until browned and tender, 5 to 10 minutes more. Remove from the oven to cool.', 'Crumble bacon, reserve 1 tablespoon for garnish, and set the remaining bacon aside.', 'When potatoes are cool enough to handle, add to a large bowl. Add reserved bacon, green onions, jalapenos, pickled jalapenos, jalapeno brine, cheese, sour cream, mayonnaise, and remaining ranch seasoning. Stir until well combined. Serve immediately, or refrigerate until ready to serve. Garnish with reserved bacon, jalapenos, and green onion.']",https://www.allrecipes.com/jalapeno-popper-potato-salad-recipe-8682267
This Copycat Chipotle Honey Vinaigrette Tastes Just Like the Real Thing,"This vinaigrette is delicious as-is for topping burritos, tacos, salads, and more. But, you can take it to another level by adding sour cream for a smoky, slightly spicy creamy sauce.","['2 chipotles in adobo with 1 tablespoon of the sauce', '1 large garlic clove, minced', '1 teaspoon dried oregano', '2 tablespoons honey', '6 tablespoons red wine vinegar', '1/4 teaspoon ground cumin', '2/3 cup\xa0neutral\xa0oil\xa0such as vegetable or canola', 'Salt and pepper to taste', 'Sour cream, optional']","[""Chipotle as you all know, is a well-loved fast-casual chain known for its delicious, customizable burritos, bowls, salads, and more. It seems like every time you go online, Chipotle is getting traction for its\xa0not-so-secret menu hacks, which continue to go viral each time they are discovered. One customers have continuously gone gaga for is a hidden gem that isn't listed on the menu but has quickly become a fan-favorite among foodies and Chipotle enthusiasts:\xa0its honey vinaigrette."", ""The original Chipotle Honey Vinaigrette is a spicy dressing that is made with a blend of chipotle chiles in adobo sauce, red wine vinegar, oil, garlic, and a mix of spices. But you may not have even known it exists as it's not technically on the menu. It comes standard with every salad, but it isn't available in the assembly line in the restaurant."", ""The vinaigrette has a tangy and smoky flavor that's a simple way to level up anything you order at Chipotle."", ""Because people on the internet love taking things one step further (not a complaint), Chiptole's vinaigrette has been elevated into a creamy, tangy, slightly spicy dipping sauce that's truly hard to resist, and will make you want to eat it with everything."", 'You simply mix the honey vinaigrette with sour cream to create a creamy dipping sauce. You could use it as a sauce for burritos, tacos, burrito bowls, grilled meats, veggies, and rice bowls.', ""Making Chipotle's viral vinaigrette at home is incredibly simple. You'l just blend chipotles in adobo, garlic, honey, red wine vinegar, and some spices until smooth, then add a neutral oil to emulsify the dressing. If you want to recreate the creamy sauce, just mix in a dollop of sour cream."", 'As long as the vinaigrette is stored without sour cream, it can last up to two weeks in the refrigerator.', 'Editorial contributions by Nea Arentzen and Bailey Fink', 'Gather all ingredients.', 'In a blender, combine chipotles and adobo, garlic, oregano, honey, red wine vinegar, and cumin. Blend until smooth, then slowly drizzle in oil with the blender running to emulsify.', 'Season to taste with salt and pepper and transfer to a sealable jar.']",https://www.allrecipes.com/copycat-chipotle-honey-vinaigrette-recipe-8658747
Ritz Cracker Chicken Casserole,"This Ritz cracker chicken casserole is a classic creamy chicken casserole, great for a weeknight dinner. Rotisserie chicken makes it easier, and the buttery cracker topping provides that familiar crunch.","['8 cups packed shredded rotisserie chicken (from 2 whole rotisserie chickens)', '2 (10 1/2 ounce) cans cream of chicken soup', '1 cup sliced scallions,\xa0plus more for garnish', '1 (8 ounce) container sour cream', '1/2 cup chicken broth', '1 tablespoon Dijon mustard', '1 1/2 teaspoons garlic powder', '1 1/2 teaspoons onion powder', '1 1/2 teaspoons freshly ground black pepper', '1 1/2 teaspoons kosher salt', '2 sleeves buttery round crackers (such as Ritz®), crushed (about 60 crackers)', '1/2 cup unsalted butter, melted']","['Gather all ingredients.', 'Preheat the oven to 350 degrees F (175 degrees C). Stir together shredded chicken, cream of chicken soup, scallions, sour cream, chicken broth, mustard, garlic powder, onion powder, black pepper, and salt in a 9x13-inch baking dish. Spread into an even layer.', 'Stir crackers and butter together in a bowl until coated, and sprinkle evenly over chicken mixture.', 'Bake in the preheated oven until bubbly and crackers are golden brown, about 30 minutes. Garnish with sliced scallions.']",https://www.allrecipes.com/ritz-cracker-chicken-casserole-recipe-8679708
Corn Salad with Chili Cheese Fritos,"This corn salad with chili cheese Fritos is a quick sweetcorn salad, seasoned with Mexican flavors, with an added crunchy heat from crushed Fritos.","['5 ears fresh corn in husks', '1 red bell pepper, finely chopped', '2 jalapenos, seeded and chopped', '1/2 sweet onion, finely chopped', '1 (8 ounce) bag shredded Mexican blend cheese', '1 teaspoon chili lime seasoning (such as Tajin®)', '1 cup sour cream', '1/2 cup mayonnaise', '1/4 cup chopped cilantro', '1/2 (9.25-ounce) bag chili cheese corn chips (such as Chili Cheese Fritos®), crushed']","['Place corn, in husks, in microwave, and cook on High for 4 minutes. Cut 1 inch from bottom of corn and carefully remove husks and silks. Use a knife to cut kernels from cobs and place kernels in a large bowl.', 'Add bell pepper, jalapeno, onion, cheese, Tajin, sour cream, mayonnaise, and cilantro and mix well. Stir in corn chips just before serving.']",https://www.allrecipes.com/corn-salad-with-chili-cheese-fritos-recipe-8681452
Crispy Corn,"This simple snack, crispy corn, is made by coating corn kernels with cornstarch and deep frying.","['3 cups oil for frying', '2 (15 ounce) cans sweet corn, well drained', '1/4 cup cornstarch', '1 teaspoon salt', '1/2 teaspoon paprika', '1/2 teaspoon freshly ground black pepper', 'lime wedges and fresh jalapeno slices (optional)']","['Heat oil in a medium saucepan to 350 degrees F (175 degrees C). Pour drained corn on a large plate lined with paper towels and pat dry,', 'Toss corn with cornstarch until lightly coated. Work in batches, about 1/2 cup at a time. Shake off excess cornstarch and carefully lower corn into hot oil, using a slotted spoon. Fry until lightly golden brown and crispy, 2 to 3 minutes; drain on paper towels. Repeat with remaining corn.', 'Season with paprika and pepper; squeeze lime juice over and sprinkle with jalapenos if desired.']",https://www.allrecipes.com/crispy-corn-recipe-8681426
